Date;Secteur activité;Code tension raccordement;Tension raccordement;00h00;00h30;01h00;01h30;02h00;02h30;03h00;03h30;04h00;04h30;05h00;05h30;06h00;06h30;07h00;07h30;08h00;08h30;09h00;09h30;10h00;10h30;11h00;11h30;12h00;12h30;13h00;13h30;14h00;14h30;15h00;15h30;16h00;16h30;17h00;17h30;18h00;18h30;19h00;19h30;20h00;20h30;21h00;21h30;22h00;22h30;23h00;23h30;Nb points de soutirage;Energie journalière (MWh);Qualité
2019-05-23;Grande Industrie;4;90 kV;477.28;480.807;476.429;478.991;476.78;466.369;475.813;469.596;480.913;484.182;480.089;486.231;489.183;486.235;486.748;487.086;475.881;464.44;469.008;469.582;481.006;469.611;478.919;470.95;462.225;476.088;487.048;498.247;492.4;492.797;489.35;488.341;490.323;493.61;495.994;499.838;494.133;499.009;510.479;493.69;506.516;503.92;496.826;494.504;491.383;491.851;492.196;490.75;70;11646.8235;Consolidée
2019-05-23;Tertiaire;4;90 kV;61.197;55.065;44.671;49.17;42.554;41.036;46.878;42.209;48.95;50.638;50.888;71.955;98.697;132.527;168.339;162.979;163.535;140.588;115.812;97.048;96.076;72.664;74.008;72.976;74.733;74.653;87.023;74.444;91.514;78.187;84.492;79.599;108.506;107.45;131.461;152.925;171.427;172.791;170.452;159.422;165.5;137.314;118.0;87.762;82.727;57.951;56.734;55.495;116;2290.511;Consolidée
2019-05-24;Autre;2;45 kV;34.693;34.706;18.737;22.295;31.859;33.225;33.231;32.535;33.813;33.822;34.378;34.666;35.126;35.162;35.194;35.21;33.596;31.746;20.362;17.905;17.631;20.21;20.059;19.426;19.693;21.898;22.536;21.922;21.755;19.75;20.231;19.347;20.389;33.67;36.189;36.481;36.633;36.337;37.092;37.591;37.694;37.971;38.35;38.313;38.127;38.166;37.926;22.299;8;714.9735;Consolidée
2019-05-24;Autre;3;63 kV;912.117;908.883;887.188;857.675;850.481;851.619;859.114;858.657;862.655;857.78;857.71;869.248;891.102;903.668;898.411;919.58;950.603;966.286;981.477;966.719;955.841;965.306;945.302;943.508;951.538;940.476;924.406;951.052;946.724;946.254;940.583;937.147;927.427;936.264;930.724;931.481;940.579;939.686;937.363;910.826;908.966;891.773;875.965;864.453;868.942;871.022;867.179;862.583;226;21862.1715;Consolidée
2019-05-26;Autre;6;225 kV;298.151;292.673;291.59;280.357;275.981;285.802;286.698;286.271;284.726;273.524;289.644;293.205;301.316;326.114;311.144;313.472;314.556;321.143;332.215;331.215;337.435;345.644;351.126;359.543;358.668;358.763;376.685;348.986;335.59;335.585;354.68;346.677;360.793;364.026;369.992;345.702;338.373;344.438;354.373;339.909;348.747;341.918;312.754;334.895;312.614;310.495;301.254;289.873;42;7784.6675;Consolidée
2019-05-26;Grande Industrie;6;225 kV;2792.234;2773.903;2790.215;2794.605;2833.881;2779.843;2795.982;2867.325;2791.54;2786.121;2752.842;2798.771;2849.127;2815.583;2823.482;2783.337;2805.65;2787.094;2796.144;2796.423;2817.914;2751.867;2770.124;2827.215;2794.791;2802.746;2748.506;2771.656;2730.391;2767.579;2690.821;2777.607;2699.418;2708.91;2767.951;2787.723;2828.398;2776.282;2866.367;2793.544;2746.602;2852.373;2873.055;2832.658;2861.42;2861.888;2809.783;2870.173;78;67100.932;Consolidée
2019-05-26;Tertiaire;3;63 kV;142.254;114.803;109.333;107.655;96.993;99.248;95.366;103.893;104.628;109.171;124.819;128.132;142.472;163.939;177.682;208.337;235.581;221.413;211.135;227.163;225.338;230.445;229.267;227.027;238.063;252.048;246.392;243.49;253.396;272.559;279.519;266.98;294.667;311.717;323.472;355.998;370.737;376.816;352.289;356.048;356.973;354.959;315.137;293.803;223.442;200.526;159.529;145.825;332;5340.2395;Consolidée
2019-05-26;Tertiaire;6;225 kV;74.547;77.384;67.734;63.286;72.428;50.283;57.064;61.311;49.631;61.976;66.855;111.018;116.449;152.867;194.399;203.757;263.066;340.788;353.043;436.16;402.348;457.545;484.482;466.457;450.266;438.193;496.405;495.659;452.147;470.424;482.956;580.369;569.368;522.734;449.591;608.006;634.637;624.27;648.015;677.311;615.987;543.096;519.272;518.39;492.381;435.297;292.148;193.204;57;8447.502;Consolidée
2019-05-27;Grande Industrie;2;45 kV;179.399;155.037;190.404;179.478;176.392;175.229;162.825;181.71;167.568;176.923;183.924;180.749;180.118;164.784;170.327;179.392;177.918;165.95;188.857;163.219;183.945;155.765;188.144;173.489;183.611;175.971;176.42;178.099;173.798;184.385;174.755;184.183;183.886;184.297;188.517;184.687;183.257;184.06;176.167;196.829;183.449;190.754;184.988;195.224;189.823;196.679;176.608;197.993;7;4314.993;Consolidée
2019-05-27;Grande Industrie;3;63 kV;1204.076;1234.082;1210.976;1206.561;1219.627;1201.299;1205.784;1213.304;1218.819;1221.622;1227.512;1270.422;1302.234;1310.768;1297.997;1292.85;1312.444;1294.04;1280.02;1298.502;1327.238;1322.158;1367.21;1318.371;1341.646;1354.621;1346.82;1302.119;1343.961;1312.151;1358.762;1342.343;1354.409;1355.207;1312.479;1297.556;1326.294;1314.088;1314.671;1295.946;1295.983;1284.59;1272.951;1296.507;1260.106;1281.049;1309.626;1316.156;198;30973.9785;Consolidée
