ANNEE;Code INSEE de la région;Région;Niveau de tension (kV);Nombre de postes électriques
2022;53;BRETAGNE;90;30
2022;44;GRAND EST;90;15
2022;28;NORMANDIE;90;102
2022;53;BRETAGNE;63;92
2022;24;CENTRE-VAL DE LOIRE;63;5
2022;44;GRAND EST;63;166
2022;11;ILE-DE-FRANCE;63;50
2022;28;NORMANDIE;63;2
2022;75;NOUVELLE-AQUITAINE;63;148
2022;76;OCCITANIE;63;278
2022;52;PAYS DE LA LOIRE;63;24
2022;84;AUVERGNE-RHONE-ALPES;45;8
2022;32;HAUTS-DE-FRANCE;45;0
2022;28;NORMANDIE;45;0
2022;52;PAYS DE LA LOIRE;45;0
2021;75;NOUVELLE-AQUITAINE;400;16
2021;27;BOURGOGNE-FRANCHE-COMTE;225;31
2021;44;GRAND EST;225;64
2021;32;HAUTS-DE-FRANCE;225;64
2021;84;AUVERGNE-RHONE-ALPES;90;8
2021;24;CENTRE-VAL DE LOIRE;90;117
2021;28;NORMANDIE;90;102
2021;27;BOURGOGNE-FRANCHE-COMTE;63;154
2021;44;GRAND EST;45;0
2021;11;ILE-DE-FRANCE;45;0
2021;52;PAYS DE LA LOIRE;45;0
2021;93;PROVENCE-ALPES-COTE D'AZUR;45;0
2021;11;ILE-DE-FRANCE;400;13
2021;93;PROVENCE-ALPES-COTE D'AZUR;400;10
2021;53;BRETAGNE;225;20
2021;24;CENTRE-VAL DE LOIRE;225;12
2021;84;AUVERGNE-RHONE-ALPES;150;0
2021;28;NORMANDIE;150;0
2021;52;PAYS DE LA LOIRE;150;0
2021;84;AUVERGNE-RHONE-ALPES;63;310
2021;53;BRETAGNE;63;92
2021;32;HAUTS-DE-FRANCE;63;61
2021;75;NOUVELLE-AQUITAINE;63;148
2021;32;HAUTS-DE-FRANCE;45;0
2021;75;NOUVELLE-AQUITAINE;45;0
2021;84;AUVERGNE-RHONE-ALPES;400;28
2021;53;BRETAGNE;400;4
2021;44;GRAND EST;400;20
2021;28;NORMANDIE;400;12
2021;28;NORMANDIE;225;23
2021;75;NOUVELLE-AQUITAINE;225;43
2021;24;CENTRE-VAL DE LOIRE;150;0
2021;44;GRAND EST;150;0
2021;32;HAUTS-DE-FRANCE;150;0
2021;44;GRAND EST;90;15
2021;32;HAUTS-DE-FRANCE;90;69
2021;76;OCCITANIE;90;0
2021;93;PROVENCE-ALPES-COTE D'AZUR;90;0
2021;11;ILE-DE-FRANCE;63;50
2021;27;BOURGOGNE-FRANCHE-COMTE;45;0
2021;24;CENTRE-VAL DE LOIRE;45;0
2021;24;CENTRE-VAL DE LOIRE;400;14
2021;32;HAUTS-DE-FRANCE;400;18
2021;76;OCCITANIE;400;13
2021;52;PAYS DE LA LOIRE;400;7
2021;84;AUVERGNE-RHONE-ALPES;225;85
2021;11;ILE-DE-FRANCE;225;114
2021;52;PAYS DE LA LOIRE;225;26
2021;11;ILE-DE-FRANCE;150;0
2021;76;OCCITANIE;150;10
2021;27;BOURGOGNE-FRANCHE-COMTE;90;0
2021;53;BRETAGNE;90;29
2021;52;PAYS DE LA LOIRE;90;103
2021;24;CENTRE-VAL DE LOIRE;63;5
2021;28;NORMANDIE;63;2
2021;76;OCCITANIE;63;278
2021;52;PAYS DE LA LOIRE;63;24
2021;93;PROVENCE-ALPES-COTE D'AZUR;63;128
2021;53;BRETAGNE;45;0
2021;28;NORMANDIE;45;0
2021;27;BOURGOGNE-FRANCHE-COMTE;400;8
2021;76;OCCITANIE;225;58
2021;93;PROVENCE-ALPES-COTE D'AZUR;225;63
2021;27;BOURGOGNE-FRANCHE-COMTE;150;1
2021;53;BRETAGNE;150;0
2021;75;NOUVELLE-AQUITAINE;150;3
2021;93;PROVENCE-ALPES-COTE D'AZUR;150;10
2021;11;ILE-DE-FRANCE;90;11
2021;75;NOUVELLE-AQUITAINE;90;147
2021;44;GRAND EST;63;167
2021;84;AUVERGNE-RHONE-ALPES;45;8
2021;76;OCCITANIE;45;0
2020;52;PAYS DE LA LOIRE;400;7
2020;27;BOURGOGNE-FRANCHE-COMTE;225;31
2020;11;ILE-DE-FRANCE;225;114
2020;76;OCCITANIE;225;56
2020;93;PROVENCE-ALPES-COTE D'AZUR;225;61
2020;53;BRETAGNE;90;29
2020;32;HAUTS-DE-FRANCE;90;70
2020;28;NORMANDIE;90;100
2020;44;GRAND EST;63;167
2020;28;NORMANDIE;63;2
2020;75;NOUVELLE-AQUITAINE;63;147
2020;84;AUVERGNE-RHONE-ALPES;45;8
2020;53;BRETAGNE;45;0
2020;76;OCCITANIE;45;0
2020;27;BOURGOGNE-FRANCHE-COMTE;400;8
2020;28;NORMANDIE;400;12
2020;75;NOUVELLE-AQUITAINE;225;43
2020;11;ILE-DE-FRANCE;150;0
2020;27;BOURGOGNE-FRANCHE-COMTE;90;0
2020;93;PROVENCE-ALPES-COTE D'AZUR;90;0
2020;53;BRETAGNE;63;90
2020;76;OCCITANIE;63;279
2020;28;NORMANDIE;45;0
2020;75;NOUVELLE-AQUITAINE;45;0
2020;84;AUVERGNE-RHONE-ALPES;400;28
2020;24;CENTRE-VAL DE LOIRE;400;14
2020;32;HAUTS-DE-FRANCE;400;18
2020;75;NOUVELLE-AQUITAINE;400;16
2020;93;PROVENCE-ALPES-COTE D'AZUR;400;10
2020;53;BRETAGNE;225;20
2020;28;NORMANDIE;225;23
2020;53;BRETAGNE;150;0
2020;24;CENTRE-VAL DE LOIRE;150;0
2020;44;GRAND EST;150;1
2020;28;NORMANDIE;150;0
2020;76;OCCITANIE;150;10
2020;93;PROVENCE-ALPES-COTE D'AZUR;150;10
2020;11;ILE-DE-FRANCE;90;11
2020;27;BOURGOGNE-FRANCHE-COMTE;63;153
2020;32;HAUTS-DE-FRANCE;63;61
2020;11;ILE-DE-FRANCE;63;50
2020;93;PROVENCE-ALPES-COTE D'AZUR;63;127
2020;24;CENTRE-VAL DE LOIRE;45;0
2020;11;ILE-DE-FRANCE;45;0
2020;44;GRAND EST;400;19
2020;11;ILE-DE-FRANCE;400;13
2020;76;OCCITANIE;400;14
2020;32;HAUTS-DE-FRANCE;225;63
2020;52;PAYS DE LA LOIRE;225;25
2020;27;BOURGOGNE-FRANCHE-COMTE;150;0
2020;32;HAUTS-DE-FRANCE;150;0
2020;52;PAYS DE LA LOIRE;150;0
2020;84;AUVERGNE-RHONE-ALPES;90;8
2020;24;CENTRE-VAL DE LOIRE;90;117
2020;75;NOUVELLE-AQUITAINE;90;147
2020;52;PAYS DE LA LOIRE;63;23
2020;27;BOURGOGNE-FRANCHE-COMTE;45;0
2020;32;HAUTS-DE-FRANCE;45;0
2020;52;PAYS DE LA LOIRE;45;0
2020;53;BRETAGNE;400;4
2020;84;AUVERGNE-RHONE-ALPES;225;84
2020;24;CENTRE-VAL DE LOIRE;225;12
2020;44;GRAND EST;225;64
2020;84;AUVERGNE-RHONE-ALPES;150;0
2020;75;NOUVELLE-AQUITAINE;150;3
2020;44;GRAND EST;90;11
2020;76;OCCITANIE;90;0
2020;52;PAYS DE LA LOIRE;90;102
2020;84;AUVERGNE-RHONE-ALPES;63;310
2020;24;CENTRE-VAL DE LOIRE;63;5
2020;44;GRAND EST;45;0
2020;93;PROVENCE-ALPES-COTE D'AZUR;45;0
2019;27;BOURGOGNE-FRANCHE-COMTE;400;8
2019;53;BRETAGNE;400;4
2019;24;CENTRE-VAL DE LOIRE;400;14
2019;32;HAUTS-DE-FRANCE;400;17
2019;84;AUVERGNE-RHONE-ALPES;225;83
2019;24;CENTRE-VAL DE LOIRE;225;12
2019;44;GRAND EST;225;64
2019;32;HAUTS-DE-FRANCE;225;62
2019;11;ILE-DE-FRANCE;225;113
2019;75;NOUVELLE-AQUITAINE;225;42
2019;53;BRETAGNE;150;0
2019;32;HAUTS-DE-FRANCE;150;0
2019;76;OCCITANIE;150;10
2019;53;BRETAGNE;90;28
2019;75;NOUVELLE-AQUITAINE;90;144
2019;76;OCCITANIE;90;0
2019;28;NORMANDIE;63;2
2019;27;BOURGOGNE-FRANCHE-COMTE;45;0
2019;75;NOUVELLE-AQUITAINE;45;0
2019;11;ILE-DE-FRANCE;400;13
2019;28;NORMANDIE;225;23
2019;76;OCCITANIE;225;55
2019;52;PAYS DE LA LOIRE;225;25
2019;93;PROVENCE-ALPES-COTE D'AZUR;225;60
2019;27;BOURGOGNE-FRANCHE-COMTE;150;0
2019;24;CENTRE-VAL DE LOIRE;150;0
2019;44;GRAND EST;150;1
2019;75;NOUVELLE-AQUITAINE;150;3
2019;32;HAUTS-DE-FRANCE;90;69
2019;11;ILE-DE-FRANCE;90;11
2019;28;NORMANDIE;90;99
2019;52;PAYS DE LA LOIRE;90;101
2019;84;AUVERGNE-RHONE-ALPES;63;312
2019;53;BRETAGNE;63;90
2019;24;CENTRE-VAL DE LOIRE;63;5
2019;44;GRAND EST;63;166
2019;32;HAUTS-DE-FRANCE;63;61
2019;84;AUVERGNE-RHONE-ALPES;45;8
2019;44;GRAND EST;45;0
2019;32;HAUTS-DE-FRANCE;45;0
2019;11;ILE-DE-FRANCE;45;0
2019;44;GRAND EST;400;19
2019;75;NOUVELLE-AQUITAINE;400;16
2019;76;OCCITANIE;400;14
2019;27;BOURGOGNE-FRANCHE-COMTE;90;0
2019;24;CENTRE-VAL DE LOIRE;90;115
2019;44;GRAND EST;90;10
2019;93;PROVENCE-ALPES-COTE D'AZUR;90;0
2019;76;OCCITANIE;45;0
2019;52;PAYS DE LA LOIRE;400;7
2019;93;PROVENCE-ALPES-COTE D'AZUR;400;10
2019;27;BOURGOGNE-FRANCHE-COMTE;225;30
2019;53;BRETAGNE;225;20
2019;84;AUVERGNE-RHONE-ALPES;90;8
2019;52;PAYS DE LA LOIRE;63;23
2019;28;NORMANDIE;45;0
2019;52;PAYS DE LA LOIRE;45;0
2019;93;PROVENCE-ALPES-COTE D'AZUR;45;0
2019;84;AUVERGNE-RHONE-ALPES;400;28
2019;28;NORMANDIE;400;12
2019;84;AUVERGNE-RHONE-ALPES;150;0
2019;11;ILE-DE-FRANCE;150;0
2019;28;NORMANDIE;150;0
2019;52;PAYS DE LA LOIRE;150;0
2019;93;PROVENCE-ALPES-COTE D'AZUR;150;11
2019;27;BOURGOGNE-FRANCHE-COMTE;63;153
2019;11;ILE-DE-FRANCE;63;50
2019;75;NOUVELLE-AQUITAINE;63;147
2019;76;OCCITANIE;63;278
2019;93;PROVENCE-ALPES-COTE D'AZUR;63;127
2019;53;BRETAGNE;45;0
2019;24;CENTRE-VAL DE LOIRE;45;0
2018;76;OCCITANIE;400;14
2018;52;PAYS DE LA LOIRE;400;7
2018;53;BRETAGNE;225;20
2018;32;HAUTS-DE-FRANCE;225;62
2018;93;PROVENCE-ALPES-COTE D'AZUR;225;59
2018;76;OCCITANIE;150;10
2018;84;AUVERGNE-RHONE-ALPES;90;8
2018;53;BRETAGNE;90;28
2018;52;PAYS DE LA LOIRE;90;100
2018;27;BOURGOGNE-FRANCHE-COMTE;63;152
2018;44;GRAND EST;63;166
2018;27;BOURGOGNE-FRANCHE-COMTE;45;0
2018;84;AUVERGNE-RHONE-ALPES;225;83
2018;44;GRAND EST;225;64
2018;27;BOURGOGNE-FRANCHE-COMTE;150;0
2018;53;BRETAGNE;150;0
2018;32;HAUTS-DE-FRANCE;150;0
2018;27;BOURGOGNE-FRANCHE-COMTE;90;0
