IDRPoste;ADRPoste;CodeCommuneINSEE;NomCommune;DemandeProximite;CapaciteSansContrainte;ZoneTarifaireTURPE;PlageTarifInjection;Gabarit;CapacitePosteGabarit;NomZoneGabarit;CapaciteZoneGabarit
P.TEMP3;POSTE 63kV N0 1 PORT-DU-TEMPLE;69123;Lyon;;< 5 MW;;;;;;
P.TERP3;POSTE 63kV N0 1 POIX-TERRON;08341;Poix-Terron;;< 5 MW;zone soutirage;;;;;
P.TRIP6;POSTE 225kV N0 1 PONT TRINQUAT;34172;Montpellier;;< 5 MW;zone soutirage;;;;;
P.VARP3;POSTE 63kV N0 1 PLAN-DU-VAR;06021;Bonson;;< 5 MW;zone soutirage;;;;;
P.VAUP3;POSTE 63kV N0 1 PRES-DE-VAUX;25056;Besançon;;< 5 MW;zone soutirage;;;;;
P.VIZP3;POSTE 63kV N0 1 PEAGE-DE-VIZILLE;38562;Vizille;;< 5 MW;;;;;;
PAILLP3;POSTE 63kV N0 1 PAILLERES;33318;Pessac;;< 5 MW;zone soutirage;;;;;
PAIMBP3;POSTE 63kV N0 1 PAIMBOEUF;44192;Saint-Viaud;;< 5 MW;;;;;;
PAIMPP3;POSTE 63kV N0 1 PAIMPOL;22162;Paimpol;;< 5 MW;;;;;;
PALAMP3;POSTE 63kV N0 1 PALAMINY;31406;Palaminy;;< 5 MW;zone injection PV;du 1er mai au 2 septembre inclus;;;;
PALENP3;POSTE 63kV N0 1 PALENTE;25056;Besançon;;< 5 MW;zone soutirage;;;;;
PALENP6;POSTE 225kV N0 1 PALENTE;25056;Besançon;;< 5 MW;zone soutirage;;;;;
PALLUP4;POSTE 90kV N0 1 PALLUAU;85169;Palluau;;< 5 MW;zone soutirage;;;;;
PALUNP3;POSTE 63kV N0 1 PALUN (LA);13041;Gardanne;;< 5 MW;zone soutirage;;;;;
PALUNP6;POSTE 225kV N0 1 PALUN (LA);13041;Gardanne;;< 5 MW;zone soutirage;;;;;
PAMI5P3;POSTE 63kV N0 1 PAMIERS (S.N.C.F.);09225;Pamiers;;< 5 MW;zone injection PV;du 1er mai au 2 septembre inclus;;;;
PANO5P3;POSTE 63kV N0 1 PANOUSE (LA);48108;La Panouse;;< 5 MW;zone injection PV;du 1er mai au 2 septembre inclus;;;;
PAPAUP4;POSTE 90kV N0 1 PAPAULT;86113;Iteuil;;< 5 MW;zone soutirage;;;;;
